Localisation,Departement,Prix_moy
Alfortville,94,5710
Antony,92,5990
Argenteuil,95,3880
Asnières-sur-Seine,92,6860
Aubervilliers,93,4500
Aulnay-sous-Bois,93,3720
Bagneux,92,5340
Bagnolet,93,5870
Bobigny,93,3870
Bondy,93,3540
Boulogne-Billancourt,92,9040
Cergy,95,3180
Champigny-sur-Marne,94,4850
Châtillon,92,6040
Chelles,77,3890
Choisy-le-Roi,94,3950
Clamart,92,6610
Clichy,92,7470
Colombes,92,5600
Conflans-Sainte-Honorine,78,3950
Corbeil-Essonnes,91,2690
Courbevoie,92,7290
Créteil,94,4120
Drancy,93,3720
Épinay-sur-Seine,93,3200
Évry,91,2390
Fontenay-sous-Bois,94,5960
Gagny,93,3940
Garges-lès-Gonesse,95,2690
Gennevilliers,92,4910
Issy-les-Moulineaux,92,8750
Ivry-sur-Seine,94,5420
La Courneuve,93,2960
Le Blanc-Mesnil,93,3850
Le Perreux-sur-Marne,94,6490
Levallois-Perret,92,9830
Livry-Gargan,93,3390
Maisons-Alfort,94,6000
Mantes-la-Jolie,78,2670
Massy,91,4720
Meaux,77,3020
Melun,77,2930
Meudon,92,6520
Montigny-le-Bretonneux,78,4160
Montreuil,93,6530
Montrouge,92,7880
Nanterre,92,5680
Neuilly-sur-Marne,93,3700
Neuilly-sur-Seine,92,11280
Noisy-le-Grand,93,4560
Noisy-le-Sec,93,4010
Pantin,93,6340
Paris,75,10380
Poissy,78,4150
Pontault-Combault,77,3860
Puteaux,92,7800
Rosny-sous-Bois,93,4200
Rueil-Malmaison,92,7010
Saint-Denis,93,4340
Saint-Germain-en-Laye,78,7280
Saint-Maur-des-Fossés,94,6860
Saint-Ouen-sur-Seine,93,6660
Sainte-Geneviève-des-Bois,91,3620
Sarcelles,95,2790
Sartrouville,78,4520
Savigny-sur-Orge,91,3650
Sevran,93,2850
Stains,93,3100
Suresnes,92,7580
Tremblay-en-France,93,3260
